,Unnamed: 0,UniqueKey,DateSurvey,UniqueCode,Consent,PreviousDC,PreviousShambhalaDC,Female,Male,1nbinary,Trans,Gender_Unk1wn,Belief_MDMA_a,Belief_MDA_a,Belief_Ketamine_a,Belief_Cocaine_a,Belief_Methamphetamine_a,Belief_LSD_a,Belief_Unk1wn_a,Belief_Other_a,Belief_MDMA_b,Belief_MDA_b,Belief_Ketamine_b,Belief_Cocaine_b,Belief_Methamphetamine_b,Belief_LSD_b,Belief_Unk1wn_b,Belief_Other_b,Belief_Other_detail_a,Belief_Other_detail_b,Belief_MDMA_c,Belief_MDA_c,Belief_Ketamine_c,Belief_Cocaine_c,Belief_Methamphetamine_c,Belief_LSD_c,Belief_Unk1wn_c,Belief_Other_c,Belief_Other_detail_c,Type_Powder_a,Type_Crystal_a,Type_Blotter_a,Type_PressTab_a,Type_Liquid_a,Type_Gummy_a,Type_Other_a,Type_Other_detail_a,Type_Colour_a,Type_Powder_b,Type_Crystal_b,Type_Blotter_b,Type_PressTab_b,Type_Liquid_b,Type_Gummy_b,Type_Other_b,Type_Other_detail_b,Type_Colour_b,Type_Powder_c,Type_Crystal_c,Type_Blotter_c,Type_PressTab_c,Type_Liquid_c,Type_Gummy_c,Type_Other_c,Type_Other_detail_c,Type_Colour_c,Testing_Self_Friend,Testing_Self,Testing_Friends,Testing_Friends_num,Testing_Clients,Testing_Other,Testing_Other_detail,Obtained_a,Obtained_b,Obtained_c,Erlich_result_a,Colorimetric_Comments,Ehrlich_result_b,Ehrlich_result_c,Benzos_results_a,Benzo_Comments,Benzos_result_b,Benzos_results_c,FTS_results_a,FTS_Comments,FTS_results_b,FTS_results_c,FTIR_completion,FTIR_initials,FTIR_machine_num,FTIR_result_a1,FTIR_result_a2,FTIR_result_a3,FTIR_result_a4,FTIR_result_b1,FTIR_result_b2,FTIR_result_b3,FTIR_result_b4,FTIR_result_c1,FTIR_result_c2,FTIR_result_c3,FTIR_result_c4,FTIR_result_a_7_detail,FTIR_result_b_7_detail,FTIR_result_c_7_detail,GCMS_completion,GCMS_initials,GCMS_machine_num,GCMS_result_a1,GCMS_result_a2,GCMS_result_a3,GCMS_result_a4,GCMS_result_a5,GCMS_result_a6,GCMS_result_a7_detail,GCMS_result_b1,GCMS_result_b2,GCMS_result_b3,GCMS_result_b4,GCMS_result_b5,GCMS_result_b6,GCMS_result_b7_detail,GCMS_result_c1,GCMS_result_c2,GCMS_result_c3,GCMS_result_c4,GCMS_result_c5,GCMS_result_c6,GCMS_result_c_7_detail,GCMS_peak_num,GCMS_resolved,FTIR_Comment,GCMS_Comment,Discarded,Initials,Final_comments,Surprised_a,Surprised_b,Surprised_c,Surprised_detail,Satisfaction,Improvement,Intention_1change_a,Intention_More_a,Intention_Less_a,Intention_Dispose_a,Intention_Friend_a,Intention_Change_a,Intention_Naloxone_a,Intention_Other_a,Intention_Other_detail_a,Intention_1change_b,Intention_More_b,Intention_Less_b,Intention_Dispose_b,Intention_Friend_b,Intention_Change_b,Intention_Other_b,Intention_Naloxone_b,Intention_Other_detail_b,Intention_1change_c,Intention_More_c,Intention_Less_c,Intention_Dispose_c,Intention_Friend_c,Intention_Change_c,Intention_Naloxone_c,Intention_Other_c,Intention_Other_detail_c,All_belief_a,No_of_belief_a,All_belief_b,All_belief_c,No_of_belief_b,No_of_belief_c,Identified_FTIR_A,Identified_FTIR_a1,Identified_FTIR_B,Identified_FTIR_b1,Identified_FTIR_C,Identified_FTIR_c1,FTIR_Drug_names_A,FTIR_Drug_names_A1,FTIR_Drug_names_B,FTIR_Drug_names_B1,FTIR_Drug_names_C,FTIR_Drug_names_C1,No_of_poly_FTIR_A,No_of_poly_FTIR_B,No_of_poly_FTIR_C,belief_a,belief_b,belief_c,matchornotA,matchornotA1,matchornotB,matchornotB1,matchornotC,matchornotC1
1164,1221,71,8/10/2019,2000,0,1,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,3,,,3,,,,3,,,,1,,,,0,CS,4,7,4,0,0,0,0,0,0,0,0,0,0,leucine,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,1,,,,0,,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,1,1,1,0,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"7,4,0,0",7,"0,0,0,0",0,"0,0,0,0",0,"['Unknown', 'Cocaine']",['Unknown'],[],[],[],[],2,0,0,['Unknown'],[],[],No match,Match,Match,Match,Match,Match
1188,1245,95,8/10/2019,2001,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,,,3,,,,3,,,,,LB,,,0,SB,2,1,7,0,0,0,0,0,0,0,0,0,0,MANNITOL,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PH,,0,,,first the drug checking so not suprised about process,,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"1,7,0,0",1,"0,0,0,0",0,"0,0,0,0",0,"['MDMA', 'Unknown']",['MDMA'],[],[],[],[],2,0,0,['MDMA'],[],[],No match,Match,Match,Match,Match,Match
1174,1231,81,8/10/2019,2003,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,3,,,3,,,,3,,,,1,,,,0,GB,6,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,CB,,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"1,0,0,0",1,"0,0,0,0",0,"0,0,0,0",0,['MDMA'],['MDMA'],[],[],[],[],1,0,0,['MDMA'],[],[],Match,Match,Match,Match,Match,Match
554,611,289,8/10/2019,2004,0,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,white,1,0,1,1,1,1,1,,grey,1,1,1,1,1,1,1,,,0,0,2,3,1,1,,0,1,,3,,3,,3,,3,,1,,1,,0,AM,4,3,0,0,0,1,7,0,0,0,0,0,0,,benzylpiperazine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,MC,,0,1,,"thought ketamine was ""worse""",0,,0,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"0,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"3,0,0,0",3,"1,7,0,0",1,"0,0,0,0",0,['Ketamine'],['Ketamine'],"['MDMA', 'Unknown']",['MDMA'],[],[],1,2,0,['Ketamine'],['MDMA'],[],Match,Match,No match,Match,Match,Match
1203,1260,110,8/10/2019,2005,0,1,,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,0,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,0,0,2,1,1,1,,0,0,,3,,3,,3,,3,,1,,1,,0,CS,3,4,0,0,0,3,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,1,1,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,not take it at shambhala,1,1,1,1,1,1,1,1,,"1,1,1,0,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"4,0,0,0",4,"3,0,0,0",3,"0,0,0,0",0,['Cocaine'],['Cocaine'],['Ketamine'],['Ketamine'],[],[],1,1,0,['Cocaine'],['Ketamine'],[],Match,Match,Match,Match,Match,Match
1187,1244,94,8/10/2019,2006,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,WHITE,1,1,0,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,1,1,1,,0,2,,3,,0,,3,,,,1,,,,0,GB,6,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,CB,,1,,,,0,,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,0,1,1,1,1",1,"1,1,1,1,1,0,1,1","1,1,1,1,1,1,1,1",1,0,"4,0,0,0",4,"0,0,0,0",0,"0,0,0,0",0,['Cocaine'],['Cocaine'],[],[],[],[],1,0,0,['Cocaine'],['LSD'],[],Match,Match,No match,No match,Match,Match
1219,1276,126,8/10/2019,2007,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,3,1,1,,3,,,3,,,,3,,,,,LB,,,0,MR,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,MC,,0,,,surprised it's not cut,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"3,0,0,0",3,"0,0,0,0",0,"0,0,0,0",0,['Ketamine'],['Ketamine'],[],[],[],[],1,0,0,['Ketamine'],[],[],Match,Match,Match,Match,Match,Match
1189,1246,96,8/10/2019,2008,,1,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,BROWN,0,1,1,1,1,1,1,,WHITE,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,3,3,,3,,3,,3,,3,,1,,1,,0,SB,2,1,0,0,0,2,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PH,,1,0,,thought it looked like ketamine,0,,1,1,1,1,1,0,1,1,,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"1,0,0,0",1,"2,0,0,0",2,"0,0,0,0",0,['MDMA'],['MDMA'],['MDA'],['MDA'],[],[],1,1,0,['MDMA'],['Ketamine'],[],Match,Match,No match,No match,Match,Match
1202,1259,109,8/10/2019,2009,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,,0,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,white,1,0,1,1,1,1,1,,white,1,0,1,1,1,1,1,,purple,0,0,2,1,1,1,,0,1,1,3,,3,3,3,,3,3,1,,1,1,0,MM,1,3,0,0,0,3,0,0,0,1,7,0,0,,,mannitol,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JZ,,1,0,0,not expecting what they bought to actually test as such,0,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","0,1,1,1,1,1,1,1",1,1,"3,0,0,0",3,"3,0,0,0",3,"1,7,0,0",1,['Ketamine'],['Ketamine'],['Ketamine'],['Ketamine'],"['MDMA', 'Unknown']",['MDMA'],1,1,2,['Ketamine'],['Ketamine'],['MDMA'],Match,Match,Match,Match,No match,Match
1222,1279,129,8/10/2019,2012,0,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,1,1,1,,0,,,3,,,,3,,,,1,,,,0,GB,6,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,CB,,0,,,thought there would be more cuts,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,0,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"2,0,0,0",2,"0,0,0,0",0,"0,0,0,0",0,['MDA'],['MDA'],[],[],[],[],1,0,0,['MDA'],[],[],Match,Match,Match,Match,Match,Match
1186,1243,93,8/10/2019,2013,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,1,1,1,1,1,0,1,1,,0,1,1,1,1,1,1,,GREY,0,1,1,1,1,1,1,,GREY,1,1,0,1,1,1,1,,,1,0,1,,1,1,,0,0,0,3,,3,0,3,,3,,1,,1,,0,CS,3,1,0,0,0,1,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,0,0,,skechy transfer/ buy from dealer,0,,1,1,0,1,1,1,1,1,,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"0,1,1,1,1,1,1,1","1,1,1,1,1,0,1,1",1,1,"1,0,0,0",1,"1,0,0,0",1,"0,0,0,0",0,['MDMA'],['MDMA'],['MDMA'],['MDMA'],[],[],1,1,0,['MDMA'],['MDMA'],['LSD'],Match,Match,Match,Match,No match,No match
1221,1278,128,8/10/2019,2014,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,grey,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,0,,,3,,,,3,,,,1,,,,0,GB,6,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,CB,,1,,,,0,shorter lines,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"1,0,0,0",1,"0,0,0,0",0,"0,0,0,0",0,['MDMA'],['MDMA'],[],[],[],[],1,0,0,['MDMA'],[],[],Match,Match,Match,Match,Match,Match
1192,1249,99,8/10/2019,2015,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,3,1,1,,0,,,3,,,,3,,,,1,,,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,ML,,1,,,,0,SHORTER LINE,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"1,0,0,0",1,"0,0,0,0",0,"0,0,0,0",0,['MDMA'],['MDMA'],[],[],[],[],1,0,0,['MDMA'],[],[],Match,Match,Match,Match,Match,Match
1185,1242,92,8/10/2019,2016,0,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,1,,,0,,,,,LB,,,,LB,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,LB,1,JB,,1,,,,0,,1,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,1,1,0,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"0,0,0,0",0,"0,0,0,0",0,"0,0,0,0",0,[],[],[],[],[],[],0,0,0,['LSD'],[],[],No match,No match,Match,Match,Match,Match
1223,1280,130,8/10/2019,2017,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,1,,,3,,,,3,,,,1,,,,0,MM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JZ,,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"1,0,0,0",1,"0,0,0,0",0,"0,0,0,0",0,['MDMA'],['MDMA'],[],[],[],[],1,0,0,['MDMA'],[],[],Match,Match,Match,Match,Match,Match
1195,1252,102,8/10/2019,2018,0,1,,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,WHITE,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,,,3,,,,3,,,,1,,,,0,CS,3,4,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,1,,,,0,,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,0,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"4,0,0,0",4,"0,0,0,0",0,"0,0,0,0",0,['Cocaine'],['Cocaine'],[],[],[],[],1,0,0,['Cocaine'],[],[],Match,Match,Match,Match,Match,Match
1191,1248,98,8/10/2019,2019,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,WHITE,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,1,1,1,,0,,,3,,,,3,,,,1,,,,0,AM,,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,1,ML,guest thinks he brought the wrong bag,0,,,ketamine instead of MDMA,0,,1,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"3,0,0,0",3,"0,0,0,0",0,"0,0,0,0",0,['Ketamine'],['Ketamine'],[],[],[],[],1,0,0,['MDMA'],[],[],No match,No match,Match,Match,Match,Match
1170,1227,77,8/10/2019,2020,0,1,,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,3,1,1,,1,,,3,,,,3,,,,1,,,,0,CS,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,0,,,taste different,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,0,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"4,0,0,0",4,"0,0,0,0",0,"0,0,0,0",0,['Cocaine'],['Cocaine'],[],[],[],[],1,0,0,['Cocaine'],[],[],Match,Match,Match,Match,Match,Match
1160,1217,67,8/10/2019,2021,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,,,1,1,0,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,0,1,1,1,1,,,1,1,1,1,1,1,1,,white,0,0,2,3,1,1,,1,0,0,3,,3,3,3,,3,3,1,,3,1,0,SB,3,4,7,0,0,6,0,0,0,3,5,0,0,inositol,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PH,,1,1,0,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,not tested,1,1,0,1,1,0,1,1,,"1,1,1,0,1,1,1,1",1,"1,1,1,1,1,0,1,1","1,1,0,1,1,1,1,1",1,1,"4,7,0,0",4,"6,0,0,0",6,"3,5,0,0",3,"['Cocaine', 'Unknown']",['Cocaine'],['LSD'],['LSD'],"['Ketamine', 'Methamphetamine']",['Ketamine'],2,1,2,['Cocaine'],['LSD'],['Ketamine'],No match,Match,Match,Match,No match,Match
1124,1181,31,8/10/2019,2023,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,Clear white,1,0,1,1,1,1,1,,not completed,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,0,,3,,3,,3,,3,,1,,1,,0,MM,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JZ,,1,1,,,0,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"0,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"1,0,0,0",1,"1,0,0,0",1,"0,0,0,0",0,['MDMA'],['MDMA'],['MDMA'],['MDMA'],[],[],1,1,0,['MDMA'],['MDMA'],[],Match,Match,Match,Match,Match,Match
1169,1226,76,8/10/2019,2024,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,light gray,1,0,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,0,,3,,3,,3,,3,,1,,1,,0,SB,3,1,0,0,0,3,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,No initials on paper form,1,1,,,0,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"1,0,0,0",1,"3,0,0,0",3,"0,0,0,0",0,['MDMA'],['MDMA'],['Ketamine'],['Ketamine'],[],[],1,1,0,['MDMA'],['Ketamine'],[],Match,Match,Match,Match,Match,Match
1168,1225,75,8/10/2019,2025,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2CT7,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,WHITE,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,,,3,,,,3,,,,1,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,2ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,section not completed in paper form,LB,1,MC,"the capsule contained 25 mg, which is a common dose , on the high side",1,,,,0,,1,1,1,1,1,1,1,0,more precautions,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,1,1,1,1,1",0,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"7,0,0,0",7,"0,0,0,0",0,"0,0,0,0",0,['Unknown'],['Unknown'],[],[],[],[],1,0,0,[],[],[],No match,No match,Match,Match,Match,Match
1171,1228,78,8/10/2019,2026,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,LB,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,1,0,,3,,3,,3,,3,,1,,1,,0,CS,3,1,7,0,0,3,0,0,0,0,0,0,0,mannitol,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,1,1,,,0,it's awesome,1,1,0,1,1,1,1,1,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"1,7,0,0",1,"3,0,0,0",3,"0,0,0,0",0,"['MDMA', 'Unknown']",['MDMA'],['Ketamine'],['Ketamine'],[],[],2,1,0,['MDMA'],['Ketamine'],[],No match,Match,Match,Match,Match,Match
1108,1165,15,8/10/2019,2027,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,clear,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,0,0,,3,sample 2 not completed on paper form,,,3,,3,,1,,,,0,CS,4,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,JSM,,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"1,0,0,0",1,"0,0,0,0",0,"0,0,0,0",0,['MDMA'],['MDMA'],[],[],[],[],1,0,0,['MDMA'],[],[],Match,Match,Match,Match,Match,Match
1109,1166,16,8/10/2019,2028,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,3,,,3,,,,3,,,,1,,,,0,ST,3,4,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,unable to understand initials on paper form,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,0,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"4,0,0,0",4,"0,0,0,0",0,"0,0,0,0",0,['Cocaine'],['Cocaine'],[],[],[],[],1,0,0,['Cocaine'],[],[],Match,Match,Match,Match,Match,Match
1146,1203,53,8/10/2019,2031,0,0,,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,beige,1,0,1,1,1,1,1,,white,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,0,,3,,3,,,,3,,1,,1,,0,AM,2,1,0,0,0,3,7,0,0,0,0,0,0,,epson salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB,,,no initals in paper form,1,1,,,0,lab coats and more stations,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"1,0,0,0",1,"3,7,0,0",3,"0,0,0,0",0,['MDMA'],['MDMA'],"['Ketamine', 'Unknown']",['Ketamine'],[],[],1,2,0,['MDMA'],['Ketamine'],[],Match,Match,No match,Match,Match,Match
